card_id;preco_tvs_fob
1161140633;3.07
1155839346;7.46
1158237155;15.32
1158224178;3.51
1155839068;0.00
1163364357;30.57
1155839266;23.48
1155839256;28.92
1163094475;30.57
1155839281;7.24
1155839123;3.00
1155839331;18.84
1155839103;0.64
1155839112;0.20
1155839073;0.00
1157976571;1.10
1157976726;1.05
1157976866;0.91
1157977046;1.59
1158000217;0.70
1157977197;0.70
1158250833;2.53
1155839166;3.57
1155839207;3.00
1155839362;1.62
1161142893;25.04
1158414719;39.52
1155839182;0.00
1158415599;17.23
1155839059;1.90
1155839300;25.00
1155839144;2.23
1164411443;2.50
1155839090;2.50
1158415366;12.44
1155839306;7.10
1164406386;0.00
1158220015;1.29
1155839230;1.29
1158234786;3.88
1155839293;8.10
1155839242;0.00
1155839118;13.00
1155839379;1.60
1161126334;2.01
1161133280;0.00
1155839371;2.81
1158092199;0.00
1155839268;15.90
1155839099;0.26
1158205720;1.30
1155839171;3.99
1155839412;0.00
1155839424;0.00
1155839433;1.50
1155839402;0.00
1155839407;0.00
1155839419;1.50
1155839314;0.60
1158414932;4.11
1158096780;0.60
1158415106;3.84
1155839048;2.00
1155839351;3.58
1161136317;16.46
1155839192;2.05
1155839130;3.50
1155839176;3.35
1161145428;2.80
1155839320;0.00
1155839358;3.40
1155839368;2.00
1155839041;1.04
1155839082;0.00
1155839398;23.45
1155839391;19.41
1155839338;3.90
1155839213;0.61
1155839135;4.37
1155839157;3.48
1161130173;0.00
1155839383;1.12
1155839148;9.43
1158332671;0.00
1158414340;29.35
1163374210;24.50
1155839037;26.00
1158254071;1.22
1158263811;1.00
1161119021;1.59
1158257207;1.96
1155839286;2.00
1155839276;16.50
1158103832;1.65
1158107069;1.30
1155839228;0.90
